# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 12 22:59:24 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_refname,st_spectype,st_teff,st_rad,st_mass,st_age,rastr,ra,decstr,dec,glat,glon,sy_dist
14 Her b,14 Her,0,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1773.40002000000,2.9300000000,,,,,0.370000,0.000000,0.000000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338.00,0.930000,0.900000,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
14 Her b,14 Her,0,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=GOZDZIEWSKI_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008MNRAS.385..957G/abstract target=ref> Gozdziewski et al. 2008</a>,1766.00000000000,2.8640000000,,,,,0.359000,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5280.00,1.002350,0.910000,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
14 Her b,14 Her,0,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,1766.41000000000,2.8300000000,,,,,0.367400,0.003500,-0.003800,0,,,,,,,,,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5314.94,0.995819,0.969205,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
14 Her b,14 Her,0,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,2.7300000000,,,,,0.357000,,,0,,,,,,,,,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,,,0.900000,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
14 Her b,14 Her,0,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,1724.00000000000,2.8200000000,,,,,0.370000,0.040000,-0.040000,0,,,,,,,,,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,K0 V,,,1.000000,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
14 Her b,14 Her,0,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,1773.40000000000,2.7700000000,,,,,0.369000,0.005000,-0.005000,0,,,,,,,,,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,K0 V,,,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
14 Her b,14 Her,0,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,1796.40000000000,2.8000000000,,,,,0.338000,0.011000,-0.011000,0,,,,,,,,,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,,5255.00,,0.900000,3.9000,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
14 Her b,14 Her,1,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,0,<a refstr=BARDALEZ_GAGLIUFFI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...988L..18B/abstract target=ref>Bardalez Gagliuffi et al. 2025</a>,,2.8390000000,,,2828.67282230,8.90000000,0.368300,0.002900,-0.002900,0,,,,,,,,,<a refstr=BARDALEZ_GAGLIUFFI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...988L..18B/abstract target=ref>Bardalez Gagliuffi et al. 2025</a>,K0,,,0.970000,4.6000,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,17.93230000
16 Cyg B b,16 Cyg B,0,3,1,0,0,Radial Velocity,1996,Multiple Observatories,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007AJ....134.1276W/abstract target=ref> Wittenmyer et al. 2007 </a>,799.50000000000,1.6800000000,,,,,0.689000,0.011000,-0.011000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5747.00,1.128270,1.030000,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,21.13970000
16 Cyg B b,16 Cyg B,0,3,1,0,0,Radial Velocity,1996,Multiple Observatories,0,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,800.80000000000,1.6000000000,,,,,0.634000,0.082000,-0.082000,0,,,,,,,,,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,G2.5 V,5760.00,,1.000000,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,21.13970000
16 Cyg B b,16 Cyg B,1,3,1,0,0,Radial Velocity,1996,Multiple Observatories,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.50000000000,1.6600000000,,,,,0.680000,0.020000,-0.020000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750.00,1.130000,1.080000,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,21.13970000
16 Cyg B b,16 Cyg B,0,3,1,0,0,Radial Velocity,1996,Multiple Observatories,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,798.50000000000,1.6810000000,,,,,0.681000,0.017000,-0.017000,0,,,,,,,,,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,5674.00,,0.990000,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,21.13970000
16 Cyg B b,16 Cyg B,0,3,1,0,0,Radial Velocity,1996,Multiple Observatories,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,799.45000000000,1.6760000000,,,,,0.683200,0.003100,-0.003100,0,,,,,,,,,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5711.97,1.159464,0.982996,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,21.13970000
16 Cyg B b,16 Cyg B,0,3,1,0,0,Radial Velocity,1996,Multiple Observatories,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,799.50000000000,1.6800000000,,,,,0.689000,0.011000,-0.011000,0,,,,,,,,,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,G3 V,,,,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,21.13970000
17 Sco b,17 Sco,1,1,1,0,0,Radial Velocity,2020,Lick Observatory,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,578.38000000000,1.4500000000,,,,,0.060000,0.030000,-0.020000,0,,,,,,,,,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,K3 III,4157.00,25.920000,1.220000,5.1300,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,27.34301,1.30262,124.95300000
18 Del b,18 Del,1,2,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,982.85000000000,2.4760000000,,,,,0.024000,0.007000,-0.018000,0,,,,,,,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G6 III,4980.00,8.800000,2.100000,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.97480,58.69121,76.22200000
18 Del b,18 Del,0,2,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,2.5400000000,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,2.100000,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.97480,58.69121,76.22200000
18 Del b,18 Del,0,2,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,993.30000000000,2.6000000000,,,,,0.080000,0.010000,-0.010000,0,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,G6 III,4979.00,8.500000,2.300000,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.97480,58.69121,76.22200000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,0,0,Imaging,2008,Gemini Observatory,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,330.0000000000,,,4000.00000000,12.00000000,,,,,,,,,1700.00,100.00,-100.00,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,4060.00,,0.850000,0.0100,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,139.13500000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,0,0,Imaging,2008,Gemini Observatory,0,<a refstr=LAFRENIERE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..497L/abstract target=ref> Lafreniere et al. 2010 </a>,,330.0000000000,,,3000.00000000,8.00000000,,,,,,,,,1800.00,200.00,-200.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3993.00,1.313160,0.623000,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,139.13500000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,0,0,Imaging,2008,Gemini Observatory,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,330.0000000000,,,3000.00000000,8.00000000,,,,,,,,,1700.00,100.00,-100.00,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,K7 V,4060.00,,0.850000,0.0050,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,139.13500000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,0,0,Imaging,2008,Gemini Observatory,0,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,,330.0000000000,18.64700000,1.66400000,2543.00000000,8.00000000,,,,,,,,,1800.00,200.00,-100.00,0,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,K7 V,4060.00,1.352000,0.850000,0.0050,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,139.13500000
24 Boo b,24 Boo,1,1,1,0,0,Radial Velocity,2018,Okayama Astrophysical Observatory,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,30.33000000000,0.1940000000,,,,,0.032000,0.039000,-0.023000,0,,,,,,,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 IV,4816.00,12.190000,1.050000,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,60.64470,90.16373,95.98630000
24 Boo b,24 Boo,0,1,1,0,0,Radial Velocity,2018,Okayama Astrophysical Observatory,0,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,30.35060000000,0.1900000000,,,,,0.042000,0.048000,-0.029000,0,,,,,,,,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,G3 IV,4893.00,10.640000,0.990000,6.9200,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,60.64470,90.16373,95.98630000
24 Sex b,24 Sex,1,1,2,0,0,Radial Velocity,2010,Lick Observatory,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,452.80000000000,1.3330000000,,,,,0.090000,0.140000,-0.060000,0,,,,,,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.00,4.900000,1.540000,2.7000,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,72.06910000
